Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Web Servers,Amazon EC2,0,894,10728.00,USD,"Operating system (Linux), Quantity (6), Pricing strategy (On-Demand Instances 1 Year No Upfront), Storage amount (30 GB), Instance type (m4.xlarge)"
My Estimate,US East (N. Virginia),Application Servers,Amazon EC2,0,858.96,10307.52,USD,"Operating system (Linux), Quantity (6), Pricing strategy (On-Demand Instances 1 Year No Upfront), Storage amount (30 GB), Instance type (m5.xlarge)"
My Estimate,US East (N. Virginia),NAT Gateways,Amazon Virtual Private Cloud (VPC),0,3350.7,40208.40,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),CloudFront Origin,S3 Standard,0,7.68,92.16,USD,S3 Standard storage (5 GB per month)
My Estimate,US East (N. Virginia),CloudFront Origin,Data Transfer,0,0,0.00,USD,
My Estimate,US East (N. Virginia),Load Balancer,Application Load Balancer,0,1200.85,14410.20,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),MasterDB and Read Replica,Amazon RDS for MySQL,0,1798.36,21580.32,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (100 GB), Quantity (2), Instance type (db.m6g.4xlarge), Deployment option (Single-AZ), Pricing strategy (OnDemand)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
