Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Web Servers,Amazon EC2,0,152,1824,USD,"Operating system (Linux), Quantity (2), Pricing strategy (On-Demand Instances 1 Year No Upfront), Storage amount (30 GB), Instance type (m4.large)"
My Estimate,US East (N. Virginia),Application Servers,Amazon EC2,0,286.32,3435.84,USD,"Operating system (Linux), Quantity (2), Pricing strategy (On-Demand Instances 1 Year No Upfront), Storage amount (30 GB), Instance type (m5.xlarge)"
My Estimate,US East (N. Virginia),NAT Gateways,Amazon Virtual Private Cloud (VPC),0,3350.7,40208.4,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),CloudFront Origin,S3 Standard,0,7.68,92.16,USD,S3 Standard storage (5 GB per month)
My Estimate,US East (N. Virginia),CloudFront Origin,Data Transfer,0,0,0,USD,
My Estimate,US East (N. Virginia),Load Balancer,Application Load Balancer,0,1200.85,14410.2,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),MasterDB and Read Replica,Amazon RDS for MySQL,0,466.84,5602.08,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (100 GB), Quantity (2), Instance type (db.m6g.xlarge), Deployment option (Single-AZ), Pricing strategy (OnDemand)"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
"Rationale for changes: We decided to reduce performance in favor of cost reduction by resizing our web server and application server auto scaling groups to have a maximum of 2 servers. At the same time we modified the class of the DB to a db.m6g.xlarge, whereas the Web Server and Application Server classes were changed to m4.large and m5.xlarge respectively.",,,,,,,,
